Session ID,---3호기 gain11
User,admin
Execution,2020-07-03 오후 2:10:52

Assay,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M
strip No,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40
sample code,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40
,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class
1,133,-,-,128,-,-,122,-,-,120,-,-,127,-,-,122,-,-,130,-,-,128,-,-,120,-,-,113,-,-,122,-,-,121,-,-,120,-,-,114,-,-,127,-,-,123,-,-,114,-,-,118,-,-,114,-,-,117,-,-,124,-,-,113,-,-,127,-,-,116,-,-,128,-,-,125,-,-,120,-,-,125,-,-,133,-,-,118,-,-,119,-,-,122,-,-,121,-,-,122,-,-,118,-,-,126,-,-,127,-,-,125,-,-,131,-,-,124,-,-
2,127,-,-,121,-,-,108,-,-,109,-,-,116,-,-,113,-,-,130,-,-,121,-,-,112,-,-,102,-,-,113,-,-,119,-,-,105,-,-,104,-,-,118,-,-,117,-,-,103,-,-,105,-,-,101,-,-,104,-,-,118,-,-,104,-,-,116,-,-,105,-,-,101,-,-,103,-,-,99,-,-,102,-,-,115,-,-,101,-,-,102,-,-,103,-,-,108,-,-,108,-,-,101,-,-,109,-,-,113,-,-,110,-,-,118,-,-,108,-,-
3,105,-,-,99,-,-,81,-,-,88,-,-,92,-,-,88,-,-,114,-,-,104,-,-,84,-,-,76,-,-,83,-,-,93,-,-,79,-,-,77,-,-,96,-,-,91,-,-,76,-,-,75,-,-,75,-,-,79,-,-,97,-,-,76,-,-,89,-,-,79,-,-,77,-,-,81,-,-,73,-,-,81,-,-,97,-,-,75,-,-,77,-,-,81,-,-,85,-,-,91,-,-,81,-,-,83,-,-,89,-,-,89,-,-,99,-,-,88,-,-
4,87,127,-,135,>2000,-,130,>2000,-,129,>2000,-,131,>2000,-,127,>2000,-,102,167,-,91,153,-,123,>2000,-,119,>2000,-,132,>2000,-,107,324,-,126,>2000,-,124,>2000,-,103,265,-,88,173,-,126,>2000,-,124,>2000,-,121,>2000,-,122,>2000,-,90,168,-,116,>2000,-,127,>2000,-,122,>2000,-,133,>2000,-,119,>2000,-,131,>2000,-,130,>2000,-,111,389,-,127,>2000,-,130,>2000,-,125,>2000,-,136,>2000,-,105,406,-,128,>2000,-,129,>2000,-,133,>2000,-,130,>2000,-,93,180,-,126,>2000,-
5,39,3.20,2,64,8.84,3,72,16.81,3,45,5.37,3,69,11.83,3,11,0.38,1,3,<0.15,0,43,3.97,3,46,5.64,3,47,7.02,3,4,<0.15,0,40,3.84,3,63,12.62,3,8,0.16,0,39,3.62,3,37,3.45,2,52,8.59,3,61,12.27,3,68,17.38,3,8,0.16,0,38,3.43,2,43,5.76,3,59,8.57,3,64,13.13,3,77,24.94,4,10,0.33,0,70,20.29,4,15,0.83,2,48,5.34,3,53,9.27,3,79,26.81,4,84,30.57,4,14,0.68,1,60,9.44,3,63,12.96,3,76,18.83,4,91,29.24,4,17,0.95,2,54,6.41,3,55,8.07,3
6,44,4.97,3,83,15.90,3,86,26.00,4,52,8.04,3,81,17.06,3,27,3.07,2,1,<0.15,0,46,5.51,3,57,9.46,3,56,10.82,3,14,1.30,2,70,12.01,3,82,24.33,4,20,2.31,2,66,10.57,3,41,5.19,3,58,11.45,3,83,27.08,4,84,30.48,4,19,2.13,2,41,4.97,3,50,8.69,3,79,16.63,3,80,22.61,4,87,33.35,4,4,<0.15,0,67,16.89,3,21,2.44,2,59,8.82,3,51,9.32,3,84,28.73,4,82,24.33,4,22,2.45,2,63,11.04,3,58,11.11,3,80,20.14,4,86,21.40,4,25,2.80,2,60,8.74,3,53,8.36,3
7,60,7.87,3,79,14.26,3,84,24.16,4,52,8.04,3,78,15.64,3,30,3.53,3,3,<0.15,0,63,8.95,3,60,10.36,3,59,11.96,3,15,1.44,2,80,15.87,3,82,24.33,4,18,2.01,2,77,14.30,3,58,8.84,3,64,13.96,3,80,24.10,4,97,60.68,5,23,2.76,2,56,7.92,3,52,9.29,3,71,13.18,3,95,42.27,4,83,28.10,4,0,<0.15,0,82,30.32,4,22,2.60,2,72,12.69,3,54,10.33,3,87,32.65,4,95,42.27,4,23,2.60,2,78,17.29,3,58,11.11,3,75,17.12,3,100,35.29,4,30,3.57,3,75,13.16,3,62,11.01,3
