Session ID,200709 3호기 carrover
User,admin
Execution,2020-07-09 오후 3:10:05

Assay,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M
strip No,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8
sample code,CPC-1,CPC-1,CPC-1,CPC-2,CPC-2,CPC-2,CPC-3,CPC-3,CPC-3,CPC-4,CPC-4,CPC-4,CNC-1,CNC-1,CNC-1,CNC-2,CNC-2,CNC-2,CNC-3,CNC-3,CNC-3,CNC-4,CNC-4,CNC-4
,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class
1,137,-,-,131,-,-,134,-,-,135,-,-,136,-,-,139,-,-,140,-,-,138,-,-
2,129,-,-,125,-,-,129,-,-,124,-,-,130,-,-,132,-,-,132,-,-,129,-,-
3,106,-,-,102,-,-,106,-,-,102,-,-,110,-,-,113,-,-,115,-,-,110,-,-
4,144,>2000,-,143,>2000,-,144,>2000,-,138,1854,-,26,20,-,25,19,-,30,23,-,22,17,-
5,119,49.95,4,116,52.40,5,116,43.81,4,113,46.63,4,5,<0.15,0,5,<0.15,0,4,<0.15,0,2,<0.15,0
6,113,31.71,4,118,44.03,4,116,35.07,4,114,38.34,4,6,0.21,0,3,<0.15,0,4,<0.15,0,5,<0.15,0
7,130,62.86,5,129,76.64,5,130,62.86,5,123,56.54,5,8,0.43,1,5,<0.15,0,5,<0.15,0,6,0.21,0
8,11,<0.15,0,10,<0.15,0,12,0.18,0,13,0.30,0,11,<0.15,0,10,<0.15,0,10,<0.15,0,12,0.18,0
9,10,0.50,1,6,<0.15,0,9,0.37,1,6,<0.15,0,3,<0.15,0,4,<0.15,0,6,<0.15,0,4,<0.15,0
