Session ID,3호기 gain 13 / WB 5750
User,admin
Execution,2020-09-07 오후 12:21:05

Assay,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M
strip No,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40
sample code,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40
,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class
1,124,-,-,126,-,-,122,-,-,132,-,-,124,-,-,137,-,-,121,-,-,136,-,-,114,-,-,122,-,-,111,-,-,126,-,-,115,-,-,125,-,-,118,-,-,133,-,-,104,-,-,125,-,-,107,-,-,125,-,-,120,-,-,124,-,-,120,-,-,125,-,-,120,-,-,130,-,-,118,-,-,131,-,-,127,-,-,128,-,-,112,-,-,129,-,-,110,-,-,131,-,-,112,-,-,129,-,-,120,-,-,133,-,-,126,-,-,134,-,-
2,117,-,-,112,-,-,120,-,-,120,-,-,115,-,-,125,-,-,123,-,-,130,-,-,110,-,-,113,-,-,107,-,-,125,-,-,107,-,-,114,-,-,111,-,-,124,-,-,100,-,-,112,-,-,97,-,-,110,-,-,115,-,-,114,-,-,112,-,-,114,-,-,93,-,-,110,-,-,97,-,-,110,-,-,111,-,-,109,-,-,99,-,-,110,-,-,100,-,-,116,-,-,97,-,-,114,-,-,108,-,-,119,-,-,115,-,-,116,-,-
3,96,-,-,83,-,-,100,-,-,96,-,-,93,-,-,97,-,-,111,-,-,110,-,-,85,-,-,84,-,-,81,-,-,98,-,-,79,-,-,84,-,-,92,-,-,96,-,-,76,-,-,79,-,-,75,-,-,85,-,-,96,-,-,83,-,-,87,-,-,85,-,-,75,-,-,87,-,-,72,-,-,88,-,-,97,-,-,82,-,-,72,-,-,87,-,-,81,-,-,95,-,-,77,-,-,88,-,-,89,-,-,95,-,-,99,-,-,94,-,-
4,135,>2000,-,137,>2000,-,84,133,-,138,>2000,-,136,>2000,-,141,>2000,-,101,183,-,97,153,-,127,>2000,-,131,>2000,-,131,>2000,-,113,330,-,128,>2000,-,135,>2000,-,101,304,-,94,178,-,125,>2000,-,132,>2000,-,121,>2000,-,130,>2000,-,91,183,-,127,>2000,-,128,>2000,-,131,>2000,-,130,>2000,-,126,>2000,-,134,>2000,-,141,>2000,-,112,457,-,137,>2000,-,127,>2000,-,137,>2000,-,137,>2000,-,110,380,-,125,>2000,-,136,>2000,-,134,>2000,-,142,>2000,-,94,193,-,135,>2000,-
5,65,9.78,3,76,18.01,4,39,3.47,2,49,5.37,3,72,13.14,3,10,0.27,0,1,<0.15,0,44,3.73,3,48,6.18,3,51,6.84,3,3,<0.15,0,40,3.55,3,66,13.84,3,11,0.39,1,39,3.93,3,39,3.47,2,53,9.27,3,64,12.01,3,70,20.29,4,9,0.23,0,40,3.87,3,46,5.59,3,61,9.80,3,69,13.14,3,76,29.26,4,9,0.23,0,72,23.54,4,16,0.86,2,49,5.74,3,56,8.84,3,77,28.79,4,93,35.28,4,13,0.63,1,64,9.63,3,61,13.32,3,81,19.67,4,92,33.70,4,19,1.06,2,55,6.82,3,58,7.88,3
6,87,19.22,4,91,28.30,4,46,5.68,3,58,8.33,3,88,21.07,4,29,3.01,2,2,<0.15,0,51,5.86,3,57,9.54,3,61,10.59,3,13,1.22,2,75,12.48,3,87,28.46,4,23,2.52,2,67,11.96,3,45,5.51,3,61,13.07,3,87,26.10,4,87,38.37,4,21,2.28,2,42,5.27,3,53,8.29,3,81,18.98,4,85,21.58,4,89,47.92,4,3,<0.15,0,70,19.69,4,20,2.10,2,61,9.64,3,55,9.28,3,84,33.95,4,90,26.39,4,21,2.47,2,68,11.46,3,57,11.67,3,85,20.73,4,90,26.39,4,27,2.86,2,62,9.46,3,57,8.46,3
7,83,17.11,3,90,27.27,4,62,9.04,3,57,8.09,3,85,19.22,4,33,3.56,3,4,<0.15,0,69,9.40,3,61,10.78,3,64,11.58,3,14,1.36,2,86,16.73,3,87,28.46,4,19,1.96,2,79,17.01,3,61,8.79,3,65,14.97,3,85,24.27,4,102,>100,6,26,3.02,2,60,9.15,3,55,8.82,3,77,16.77,3,103,42.91,4,85,38.37,4,0,<0.15,0,87,41.53,4,23,2.52,2,75,14.35,3,58,10.20,3,90,46.34,4,103,45.07,4,25,3.12,2,83,17.49,3,61,13.37,3,79,17.21,3,105,49.86,4,32,3.57,3,78,14.71,3,67,11.24,3
