Session ID,3호기_175번_Gain8
User,admin
Execution,2021-04-22 오후 3:49:11

Assay,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M,PROTIA Allergy-Q 96M
strip No,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40
sample code,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,19,19,19,20,20,20,21,21,21,22,22,22,23,23,23,24,24,24,25,25,25,26,26,26,27,27,27,28,28,28,29,29,29,30,30,30,31,31,31,32,32,32,33,33,33,34,34,34,35,35,35,36,36,36,37,37,37,38,38,38,39,39,39,40,40,40
,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class,Intensity,IU/ml,Class
1,92,-,-,88,-,-,92,-,-,92,-,-,94,-,-,98,-,-,96,-,-,98,-,-,88,-,-,90,-,-,87,-,-,96,-,-,89,-,-,89,-,-,96,-,-,98,-,-,84,-,-,91,-,-,85,-,-,91,-,-,88,-,-,91,-,-,86,-,-,94,-,-,86,-,-,95,-,-,93,-,-,96,-,-,98,-,-,97,-,-,94,-,-,89,-,-,93,-,-,88,-,-,92,-,-,97,-,-,88,-,-,96,-,-,97,-,-,92,-,-
2,84,-,-,73,-,-,85,-,-,80,-,-,84,-,-,85,-,-,93,-,-,87,-,-,81,-,-,76,-,-,79,-,-,87,-,-,74,-,-,78,-,-,86,-,-,86,-,-,74,-,-,76,-,-,72,-,-,74,-,-,73,-,-,74,-,-,73,-,-,79,-,-,71,-,-,78,-,-,79,-,-,78,-,-,85,-,-,78,-,-,87,-,-,78,-,-,80,-,-,76,-,-,72,-,-,76,-,-,69,-,-,73,-,-,84,-,-,74,-,-
3,65,-,-,53,-,-,71,-,-,63,-,-,66,-,-,64,-,-,80,-,-,72,-,-,58,-,-,54,-,-,58,-,-,66,-,-,55,-,-,56,-,-,68,-,-,64,-,-,50,-,-,51,-,-,52,-,-,57,-,-,53,-,-,57,-,-,56,-,-,64,-,-,55,-,-,59,-,-,61,-,-,62,-,-,68,-,-,60,-,-,70,-,-,55,-,-,60,-,-,57,-,-,54,-,-,58,-,-,51,-,-,56,-,-,68,-,-,54,-,-
4,94,>2000,-,86,>2000,-,58,103,-,91,>2000,-,96,>2000,-,91,>2000,-,72,142,-,62,117,-,89,>2000,-,87,>2000,-,95,>2000,-,76,283,-,92,>2000,-,88,>2000,-,75,257,-,62,139,-,89,>2000,-,86,>2000,-,87,>2000,-,86,>2000,-,92,>2000,-,90,>2000,-,97,>2000,-,74,353,-,95,>2000,-,91,>2000,-,94,>2000,-,90,>2000,-,66,160,-,88,>2000,-,65,140,-,84,>2000,-,91,>2000,-,86,>2000,-,95,>2000,-,85,>2000,-,94,>2000,-,91,>2000,-,80,390,-,91,>2000,-
5,42,15.48,3,49,55.50,5,25,3.12,2,33,8.20,3,49,26.34,4,7,<0.15,0,0,<0.15,0,29,4.42,3,32,8.07,3,34,11.68,3,2,<0.15,0,28,4.40,3,45,33.36,4,7,<0.15,0,27,3.93,3,26,3.77,3,36,16.30,3,43,29.31,4,49,60.24,5,6,<0.15,0,56,>100,6,60,>100,6,8,<0.15,0,43,19.15,4,45,36.79,4,55,67.00,5,65,>100,6,10,0.27,0,38,10.42,3,38,14.04,3,28,4.14,3,35,11.99,3,42,18.90,4,45,29.54,4,55,>100,6,10,0.29,0,51,92.35,5,12,0.58,1,34,7.64,3,38,17.79,4
6,60,29.76,4,60,58.32,5,30,5.12,3,39,10.36,3,61,30.79,4,21,2.92,2,1,<0.15,0,34,6.29,3,41,12.39,3,41,14.54,3,10,0.95,2,52,17.83,4,61,56.42,5,16,2.17,2,50,15.81,3,30,5.50,3,42,17.47,3,60,56.14,5,63,83.05,5,17,2.49,2,61,63.39,5,61,52.49,5,15,2.06,2,46,15.37,3,42,16.75,3,58,35.45,4,66,55.77,5,18,2.48,2,44,11.74,3,41,12.60,3,31,5.39,3,39,12.18,3,57,30.82,4,59,42.52,4,64,82.97,5,5,0.27,0,50,33.23,4,15,2.06,2,42,10.71,3,37,11.75,3
7,57,23.82,4,60,55.39,5,42,9.38,3,40,10.13,3,62,31.02,4,22,2.71,2,3,<0.15,0,46,11.14,3,45,14.55,3,44,16.27,3,11,0.77,2,61,27.38,4,62,58.16,5,15,1.52,2,58,22.74,4,42,10.22,3,47,22.65,4,59,49.21,4,76,>100,6,18,2.26,2,66,96.69,5,73,>100,6,18,2.31,2,59,30.67,4,46,20.20,4,56,29.54,4,76,>100,6,21,2.74,2,56,20.81,4,45,14.82,3,43,9.77,3,40,11.96,3,55,25.82,4,71,>100,6,63,71.97,5,2,<0.15,0,62,87.72,5,17,2.06,2,54,19.04,4,42,14.91,3
