"Excel Analysed Data Export"
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved."
"File","BioCore HSV1_2 2017-03-07 (1).rex"
"Date","2017-07-12"
"Time","오전 10:22:01"

"Quantitative analysis of Cycling A.Green (Page 1)"

"No.","Name","Type","Ct","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","","Unknown","","","","","","","","",""
"2","","Unknown","","","","","","","","",""
"3","","Unknown","","","","","","","","",""
"4","","Unknown","25.74","","","","","","","",""
"5","","Unknown","","","","","","","","",""
"6","","Unknown","","","","","","","","",""
"7","","Unknown","","","","","","","","",""
"8","","Unknown","","","","","","","","",""
"9","","Unknown","","","","","","","","",""
"10","","Unknown","","","","","","","","",""
"11","","Unknown","","","","","","","","",""
"12","","Unknown","","","","","","","","",""
"13","","Unknown","","","","","","","","",""
"14","P . C","Positive Control","","","","","","","","",""
"15","N . C","NTC","","","","","","","","",""



