"Excel Analysed Data Export"
"Copyright (c) 2008 Corbett Life Science, a QIAGEN Company. All rights reserved."
"File","BioCore HSV1_2 2017-03-07 (1).rex"
"Date","2017-07-12"
"Time","오전 10:22:01"

"Quantitative analysis of Cycling A.Red (Page 1)"

"No.","Name","Type","Ct","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","","Unknown","22.43","","","","22.37","0.17","[22.27 , 22.47]","",""
"2","","Unknown","22.36","","","","","","","",""
"3","","Unknown","22.62","","","","","","","",""
"4","","Unknown","22.65","","","","","","","",""
"5","","Unknown","22.26","","","","","","","",""
"6","","Unknown","22.26","","","","","","","",""
"7","","Unknown","22.17","","","","","","","",""
"8","","Unknown","22.17","","","","","","","",""
"9","","Unknown","22.33","","","","","","","",""
"10","","Unknown","22.39","","","","","","","",""
"11","","Unknown","22.56","","","","","","","",""
"12","","Unknown","22.40","","","","","","","",""
"13","","Unknown","22.17","","","","","","","",""
"14","P . C","Positive Control","23.02","","","","23.02","","","",""
"15","N . C","NTC","23.32","","","","23.32","","","",""



